Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,0.25,inf,20,0.95,False,inf,0.008771161999220567,20,0,0,579.7861279279928,10058,inf,604.300349262
SGM,0.45,0.0,20,0.95,False,5.0,0.006368006999309728,20,0,0,438.0721554199963,7663,inf,456.0321500770001
SGM,0.8,5000.0,20,0.95,False,5.0,0.0077203479991112545,20,0,0,291.1795223060103,4728,545.501307173,302.3327040019999
SGM,0.9,10000.0,20,0.95,False,5.0,0.0062523720025637886,20,0,0,216.6224403530182,3325,521.2403689049997,224.37800411000035
SGM,1.0,15000.0,20,0.95,False,5.0,0.00694217499858496,20,0,0,167.76056273399536,2329,494.315192606,173.2523735549994
SGM,1.0,20000.0,20,0.95,False,5.0,0.006736512001225492,20,0,0,164.23949891099346,2203,464.8883588480003,169.4518276910003
SGM,1.0,25000.0,20,0.95,False,5.0,0.00782415900084743,20,0,0,159.56718735498544,2151,468.1134937500001,164.65508833900003
SGM,1.0,30000.0,20,0.95,False,5.0,0.006663941001534113,20,0,0,169.38195849601107,2323,450.4572491019999,174.89752092599974
SGM,1.0,35000.0,20,0.95,False,5.0,0.005833135001921619,20,0,0,157.56141001602373,2239,445.36564916099996,162.4714305839998
SGM,1.0,40000.0,20,0.95,False,5.0,0.005420337000032305,20,0,0,164.00018292401455,2365,431.82776965299945,169.21997123599976
SGM,1.0,45000.0,20,0.95,False,5.0,0.007059675999698811,20,0,0,166.50483957100369,2378,428.1937690880004,171.7874178910006
SGM,1.0,50000.0,20,0.95,False,5.0,0.006851677997474326,20,0,0,161.33989555297194,2336,421.90851299300084,166.49457359100052
