Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.4,inf,20,0.95,False,inf,0.48067545000026257,20,0,0,706.481264455985,8273,inf,725.1948994270001
SoRB,0.5,0.0,20,0.95,False,5.0,0.036974022998947476,20,9,0,443.7748192459985,901,inf,446.0682668459999
SoRB,0.7,5000.0,20,0.95,False,5.0,0.03608754499509814,20,6,0,429.0776334400398,371,25539.667039073,429.98451402299906
SoRB,0.5,10000.0,20,0.95,False,5.0,0.03207440000551287,20,10,0,345.6974302180024,293,23919.727079404,346.2542815479974
