Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.75,inf,20,0.95,False,inf,0.6236160220000784,20,0,0,584.2140290729885,5276,inf,596.0757595920002
SoRB,0.35,0.0,20,0.95,False,5.0,0.03555898100057675,20,10,0,430.6228177869971,1982,inf,434.5088951370003
SoRB,0.8,5000.0,20,0.95,False,5.0,0.04056815000149072,20,4,0,345.80773354799385,465,13283.876997491,346.6762204330007
SoRB,0.25,10000.0,20,0.95,False,5.0,0.0387424420005118,20,15,0,354.27852478303976,201,14547.493279149,354.7751105110001
SoRB,0.5,15000.0,20,0.95,False,5.0,0.033381528985046316,20,8,0,321.6158547151863,1554,12994.461434086996,324.022993392995
SoRB,0.15,20000.0,20,0.95,False,5.0,0.033786658983444795,20,17,0,321.62883272286854,96,23758.950168676005,321.8138126989943
SoRB,0.05,25000.0,20,0.95,False,5.0,0.027703683968866244,20,19,0,299.73874496502685,41,38145.618481771,299.8099597590044
SoRB,0.2,30000.0,20,0.95,False,5.0,0.027089877956314012,20,16,0,292.237853474915,100,48334.154824184996,292.42412637901725
SoRB,0.05,35000.0,20,0.95,False,5.0,0.029507306055165827,20,19,0,290.66854700099793,40,50741.815929705976,290.7507053689915
