Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,1.0,inf,20,0.95,False,inf,0.0052424100031203125,20,0,0,155.98263764404692,2227,inf,160.86325004300124
SGM,1.0,0.0,20,0.95,False,5.0,0.006083847996706027,20,0,0,156.54214520696223,2246,inf,161.52206252500036
SGM,1.0,5000.0,20,0.95,False,5.0,0.006028136995155364,20,0,0,161.77303286296956,2304,426.474166480999,166.81269868100026
SGM,1.0,10000.0,20,0.95,False,5.0,0.005796906003524782,20,0,0,160.28346397297355,2313,438.65468752000015,165.47052166399953
SGM,1.0,15000.0,20,0.95,False,5.0,0.006107957004132913,20,0,0,170.06637367698931,2494,440.2768278479998,175.55864267800098
SGM,0.95,20000.0,20,0.95,False,5.0,0.00553273800687748,19,0,0,145.0571177519978,2051,433.4187015030002,149.533801521
SGM,1.0,25000.0,20,0.95,False,5.0,0.006662647992925486,20,0,0,167.7260822500466,2281,447.72467408400007,173.11794741800077
SGM,1.0,30000.0,20,0.95,False,5.0,0.007047038992823218,20,0,0,187.6653541440137,2472,490.8170793579993,193.79207590700025
SGM,1.0,35000.0,20,0.95,False,5.0,0.007150349005314638,20,0,0,175.75258216700786,2416,470.5731338330006,181.45200530799957
SGM,1.0,40000.0,20,0.95,False,5.0,0.0071096880001277896,20,0,0,176.0264592440235,2443,441.76728198099954,181.71502617400074
SGM,1.0,45000.0,20,0.95,False,5.0,0.0066830629966716515,20,0,0,173.80057469094936,2440,459.53525714699936,179.51336820100005
SGM,1.0,50000.0,20,0.95,False,5.0,0.00594795899996825,20,0,0,169.1922889450234,2327,448.5220470429995,174.70678978499927
