Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.05,inf,20,0.95,False,inf,0.18707965099997637,20,0,0,787.5825122969861,11466,inf,816.0229202060002
SoRB,0.2,0.0,20,0.95,False,5.0,0.032168973999887385,20,9,0,544.3705193610231,5289,inf,555.9277764920002
SoRB,0.0,5000.0,20,0.95,False,5.0,0.03289211599803821,20,11,0,520.2629468140021,5411,5604.276970016001,531.2812195349998
SoRB,0.4,10000.0,20,0.95,False,5.0,0.0363391040082206,20,12,0,427.8881624170426,949,6422.309044288,429.97463681799854
SoRB,0.2,15000.0,20,0.95,False,5.0,0.02114996100863209,20,16,0,401.9198154450096,344,7638.03132477,402.5488706690012
SoRB,0.7,20000.0,20,0.95,False,5.0,0.04729197900451254,20,6,0,449.1717151328994,1155,7389.494990694002,451.76497795999603
SoRB,0.45,25000.0,20,0.95,False,5.0,0.03337579199433094,20,11,0,417.0350835680365,693,6862.396163447003,418.6046595690059
SoRB,0.6,30000.0,20,0.95,False,5.0,0.03423086499242345,20,8,0,360.1590073760526,949,6871.2021682890045,361.9550027009973
SoRB,0.35,35000.0,20,0.95,False,5.0,0.028721370006678626,20,13,0,367.20076073599193,588,5784.572797916,368.2861543789986
SoRB,0.6,40000.0,20,0.95,False,5.0,0.037248915985401254,20,8,0,359.87828603415255,1005,5188.969447636999,361.79235766299826
SoRB,0.3,45000.0,20,0.95,False,5.0,0.030779890017583966,20,14,0,356.85998271984863,486,6161.202612437999,357.8677880339965
SoRB,0.4,50000.0,20,0.95,False,5.0,0.0347613459744025,20,12,0,440.8689076558949,722,5860.383523589,442.65050186800363
