Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.05,inf,20,0.95,False,inf,0.0385577189997548,20,11,4,766.4069983609984,4918,inf,780.9191536470003
SoRB,0.05,0.0,20,0.95,False,5.0,0.017902018999848224,20,14,8,708.7391506970102,3198,inf,718.4096455790004
SoRB,0.15,5000.0,20,0.95,False,5.0,0.011916604000361986,20,17,11,607.0649955979916,389,7133.286508952,608.3370099559997
SoRB,0.15,10000.0,20,0.95,False,5.0,0.011204695994820213,20,17,6,551.7200751089731,342,5315.7078988799985,552.7469829420006
SoRB,0.2,15000.0,20,0.95,False,5.0,0.016853058987180702,20,16,6,499.369728317979,493,4848.465024734003,500.75293926299855
SoRB,0.3,20000.0,20,0.95,False,5.0,0.02280937699470087,20,14,8,493.6115376468624,639,4997.842665186003,495.40285244500046
SoRB,0.1,25000.0,20,0.95,False,5.0,0.009822722007811535,20,18,12,502.60624442691915,217,4586.284817954998,503.1668809900002
SoRB,0.25,30000.0,20,0.95,False,5.0,0.016915234009502456,20,15,10,493.8621749680606,524,3904.9805160350006,495.1821870779968
SoRB,0.05,35000.0,20,0.95,False,5.0,0.004547428005025722,20,19,12,349.41316241501045,138,3962.9247592869942,349.69897127600416
SoRB,0.15,40000.0,20,0.95,False,5.0,0.00828126700798748,20,17,8,344.5116433230505,347,4026.505008244996,345.18115682499774
SoRB,0.35,45000.0,20,0.95,False,5.0,0.016371555982914288,20,13,8,351.21735829898535,789,3341.3369789340068,352.6435041279983
SoRB,0.3,50000.0,20,0.95,False,5.0,0.014730400995176751,20,14,7,360.86371384884114,634,2990.4498222019974,362.0177876460002
SoRB,0.2,55000.0,20,0.95,False,5.0,0.011195445971679874,20,16,8,331.909614078053,463,2928.448901675998,332.7607392619975
SoRB,0.15,60000.0,20,0.95,False,5.0,0.006795997978770174,20,17,8,339.08445893397584,340,3491.1917846669967,339.6970132880015
SoRB,0.25,65000.0,20,0.95,False,5.0,0.013052571986918338,20,15,11,347.43406683301146,518,3690.4693978450014,348.47902089499985
SoRB,0.25,70000.0,20,0.95,False,5.0,0.013996723966556601,20,15,11,344.5425191359682,504,3201.052902620999,345.52788032100943
SoRB,0.2,75000.0,20,0.95,False,5.0,0.014068752017919905,20,16,7,347.79705235309666,429,3646.406918092005,348.67090204299893
