Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.0,inf,20,0.95,False,inf,0.015608862999670237,20,17,12,573.059688238998,1817,inf,577.9347601749998
SoRB,0.0,0.0,20,0.95,False,5.0,0.017833988999882422,20,15,5,618.4639732069973,3015,inf,626.4746277439999
SoRB,0.0,5000.0,20,0.95,False,5.0,0.014381014994796715,20,16,8,576.6646181619708,2416,4830.632761952,582.7994665979995
SoRB,0.05,10000.0,20,0.95,False,5.0,0.020350707995021367,20,14,9,560.9946764650012,3136,3380.3623435440004,568.8209033790008
SoRB,0.25,15000.0,20,0.95,False,5.0,0.015439403994605527,20,15,9,509.7519467789916,542,2747.9055153520003,511.3167382289994
SoRB,0.3,20000.0,20,0.95,False,5.0,0.020513865998509573,20,14,10,509.48030791498604,812,3529.6315068389995,511.6547417309994
SoRB,0.2,25000.0,20,0.95,False,5.0,0.015751671999169048,20,16,10,504.2178563340058,463,2982.433705673,505.4455513899993
SoRB,0.1,30000.0,20,0.95,False,5.0,0.006233417010662379,20,18,7,478.2723062579753,244,3603.9332618689987,478.84077359100047
SoRB,0.4,35000.0,20,0.95,False,5.0,0.028630867986066733,20,12,9,546.452709840225,962,3136.1022507279995,549.2748837609979
SoRB,0.2,40000.0,20,0.95,False,5.0,0.014074556005652994,20,16,10,503.83201660699706,471,3746.0566813170008,505.0314968839957
SoRB,0.35,45000.0,20,0.95,False,5.0,0.02311990997986868,20,13,9,545.2631927978728,957,3376.796161229002,547.6574437320014
SoRB,0.3,50000.0,20,0.95,False,5.0,0.019066980014031287,20,14,9,510.34388546000264,775,3622.283192091003,512.4452520679988
SoRB,0.15,55000.0,20,0.95,False,5.0,0.009093207008845638,20,17,10,458.26249129905773,334,3765.0818071319954,459.00853705999907
SoRB,0.15,60000.0,20,0.95,False,5.0,0.008126479020575061,20,17,13,360.83274372285086,337,2256.008450969006,361.50396504100354
SoRB,0.35,65000.0,20,0.95,False,5.0,0.025046942006156314,20,13,8,367.02835690692154,841,2817.7530985039994,368.72840502699546
SoRB,0.25,70000.0,20,0.95,False,5.0,0.011133282983792014,20,15,6,356.9484456769642,581,2193.859915936002,357.9865892750022
SoRB,0.3,75000.0,20,0.95,False,5.0,0.0178661410100176,20,14,10,362.2729340859005,861,2757.737122021994,364.03052688000025
SoRB,0.2,80000.0,20,0.95,False,5.0,0.010062874993309379,20,16,7,337.47453485406004,474,1857.456926677005,338.39066284
SoRB,0.25,85000.0,20,0.95,False,5.0,0.011842887033708394,20,15,11,354.456231814067,545,2535.073189467992,355.4714162050077
SoRB,0.2,90000.0,20,0.95,False,5.0,0.010945911941234954,20,16,12,348.8350632519432,443,2379.562411002,349.72514879499795
SoRB,0.25,95000.0,20,0.95,False,5.0,0.014119995990768075,20,15,12,358.96692633102066,609,3006.9475231989927,360.2108687800064
SoRB,0.25,100000.0,20,0.95,False,5.0,0.012070639015291817,20,15,11,348.38440261018695,592,2887.225890237998,349.5326479290088
