Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.0,inf,20,0.95,False,inf,0.029682768999919062,20,13,9,670.8583375989933,4213,inf,683.0342190709998
SoRB,0.0,0.0,20,0.95,False,5.0,0.016441075998955057,20,14,10,646.9048672929912,3614,inf,657.165854979
SoRB,0.15,5000.0,20,0.95,False,5.0,0.025226069998097955,20,12,6,659.1008514839923,3579,4474.668054341,669.4364045580005
SoRB,0.2,10000.0,20,0.95,False,5.0,0.012833838000005926,20,16,11,531.489351221986,845,3228.593064273,534.1250468030012
SoRB,0.25,15000.0,20,0.95,False,5.0,0.015800351997313555,20,15,12,527.0166625430356,1033,3005.488667779,530.1441744750009
SoRB,0.35,20000.0,20,0.95,False,5.0,0.02113267098320648,20,13,9,495.0017549650511,1365,3139.539360723,498.8243455230004
SoRB,0.4,25000.0,20,0.95,False,5.0,0.01954686700264574,20,12,8,498.4533583659977,1579,2665.603997096001,502.2317582830001
SoRB,0.3,30000.0,20,0.95,False,5.0,0.014497286010737298,20,14,10,482.0742437580484,1162,2320.0157775879998,485.02596325299965
SoRB,0.4,35000.0,20,0.95,False,5.0,0.02623284899891587,20,11,9,512.501090361955,2207,2678.6681389240002,518.2125205839984
SoRB,0.2,40000.0,20,0.95,False,5.0,0.010810136023792438,20,16,14,463.5483754248853,819,2509.934469521999,465.7188956509999
SoRB,0.15,45000.0,20,0.95,False,5.0,0.012274974018509965,20,17,10,462.2884113700493,606,2061.9240910259978,464.1797030460002
SoRB,0.25,50000.0,20,0.95,False,5.0,0.01516557401191676,20,15,9,473.98559549802303,1057,2744.822992888003,476.7220264179996
